"Virus_ICTV","superkingdom","realm","kingdom","phylum","class","order","family","genus","Virus_NCBI"
"Avian orthoavulavirus 1","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Orthoavulavirus","Orthoavulavirus javaense"
"Banzi virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus banziense"
"Bundibugyo ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus bundibugyoense"
"Bunyamwera orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus bunyamweraense"
"Bwamba orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus bwambaense"
"Chikungunya virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Chikungunya virus"
"Cocal vesiculovirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Vesiculovirus","Vesiculovirus cocal"
"Colorado tick fever coltivirus","Viruses","Riboviria","Orthornavirae","Duplornaviricota","Resentoviricetes","Reovirales","Spinareoviridae","Coltivirus","Colorado tick fever coltivirus"
"Dengue virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus denguei"
"Dobrava-Belgrade orthohantavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Orthohantavirus dobravaense"
"Eastern equine encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Eastern equine encephalitis virus"
"Entebbe bat virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus entebbeense"
"European bat 1 lyssavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus hamburg"
"European bat 2 lyssavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus helsinki"
"Foot-and-mouth disease virus","Viruses","Riboviria","Orthornavirae","Pisuviricota","Pisoniviricetes","Picornavirales","Picornaviridae","Aphthovirus","Foot-and-mouth disease virus"
"Ground squirrel hepatitis virus","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Ground squirrel hepatitis virus"
"Hantaan orthohantavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Orthohantavirus hantanense"
"Hendra henipavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Henipavirus","Henipavirus hendraense"
"Influenza A virus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Insthoviricetes","Articulavirales","Orthomyxoviridae","Alphainfluenzavirus","Alphainfluenzavirus influenzae"
"Japanese encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus japonicum"
"Kaeng Khoi orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus kaengkhoiense"
"Kyasanur Forest disease virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus kyasanurense"
"La Crosse orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus lacrosseense"
"Laguna Negra orthohantavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Orthohantavirus negraense"
"Langat virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus langatense"
"Lyssavirus aravan","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus aravan"
"Lyssavirus australis","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus australis"
"Lyssavirus caucasicus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus caucasicus"
"Lyssavirus irkut","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus irkut"
"Lyssavirus khujand","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus khujand"
"Lyssavirus lagos","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus lagos"
"Lyssavirus rabies","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Rhabdoviridae","Lyssavirus","Lyssavirus rabies"
"Marburg marburgvirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthomarburgvirus","Orthomarburgvirus marburgense"
"Middelburg virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Middelburg virus"
"Middle East respiratory syndrome-related coronavirus","Viruses","Riboviria","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Middle East respiratory syndrome-related coronavirus"
"Monkeypox virus","Viruses","Varidnaviria","Bamfordvirae","Nucleocytoviricota","Pokkesviricetes","Chitovirales","Poxviridae","Orthopoxvirus","Monkeypox virus"
"Mucambo virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Mucambo virus"
"Nipah henipavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Henipavirus","Henipavirus nipahense"
"Ntaya virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus ntayaense"
"Pacui virus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Pacuvirus","Pacuvirus pacuiense"
"Pestivirus C","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Pestivirus","Pestivirus suis"
"Pixuna virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Pixuna virus"
"Potosi orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus potosiense"
"Puumala orthohantavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Orthohantavirus puumalaense"
"Reston ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus restonense"
"Rift Valley fever phlebovirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Phlebovirus riftense"
"Rio Grande phlebovirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Phenuiviridae","Phlebovirus","Phlebovirus riograndense"
"Ross River virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Ross River virus"
"Saint Louis encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus louisense"
"Semliki Forest virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Semliki Forest virus"
"Severe acute respiratory syndrome-related coronavirus","Viruses","Riboviria","Orthornavirae","Pisuviricota","Pisoniviricetes","Nidovirales","Coronaviridae","Betacoronavirus","Severe acute respiratory syndrome-related coronavirus"
"Simbu orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus simbuense"
"Sindbis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Sindbis virus"
"Snowshoe hare orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus khatangaense"
"Sosuga pararubulavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Paramyxoviridae","Pararubulavirus","Pararubulavirus sosugaense"
"Spondweni virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Flavivirus","Spondweni virus"
"Sudan ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus sudanense"
"Suid alphaherpesvirus 1","Viruses","Duplodnaviria","Heunggongvirae","Peploviricota","Herviviricetes","Herpesvirales","Orthoherpesviridae","Varicellovirus","Varicellovirus suidalpha1"
"Tacaribe mammarenavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Mammarenavirus tacaribeense"
"Tahyna orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus tahynaense"
"Tai Forest ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus taiense"
"Tick-borne encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus encephalitidis"
"Trivittatus orthobunyavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Peribunyaviridae","Orthobunyavirus","Orthobunyavirus achiotei"
"Tula orthohantavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Hantaviridae","Orthohantavirus","Orthohantavirus tulaense"
"Usutu virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus usutuense"
"Venezuelan equine encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Venezuelan equine encephalitis virus"
"Wesselsbron virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus wesselsbronense"
"West Nile virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus nilense"
"Western equine encephalitis virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Alsuviricetes","Martellivirales","Togaviridae","Alphavirus","Western equine encephalitis virus"
"Whitewater Arroyo mammarenavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Ellioviricetes","Bunyavirales","Arenaviridae","Mammarenavirus","Mammarenavirus whitewaterense"
"Woodchuck hepatitis virus","Viruses","Riboviria","Pararnavirae","Artverviricota","Revtraviricetes","Blubervirales","Hepadnaviridae","Orthohepadnavirus","Woodchuck hepatitis virus"
"Yellow fever virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus flavi"
"Yokose virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus yokoseense"
"Zaire ebolavirus","Viruses","Riboviria","Orthornavirae","Negarnaviricota","Monjiviricetes","Mononegavirales","Filoviridae","Orthoebolavirus","Orthoebolavirus zairense"
"Zika virus","Viruses","Riboviria","Orthornavirae","Kitrinoviricota","Flasuviricetes","Amarillovirales","Flaviviridae","Orthoflavivirus","Orthoflavivirus zikaense"
