"Host","Host_Upham"
"didelphis marsupialis","Didelphis marsupialis"
"didelphis virginiana","Didelphis virginiana"
"marmosa demerarae","Marmosa demerarae"
"marmosa murina","Marmosa murina"
"marmosa robinsoni","Marmosa robinsoni"
"marmosops parvidens","Marmosops parvidens"
"metachirus nudicaudatus","Metachirus nudicaudatus"
"monodelphis domestica","Monodelphis domestica"
"philander opossum","Philander opossum"
"bettongia gaimardi","Bettongia gaimardi"
"bettongia penicillata","Bettongia penicillata"
"dendrolagus goodfellowi","Dendrolagus goodfellowi"
"dorcopsis muelleri","Dorcopsis muelleri"
"dorcopsis veterum","Dorcopsis muelleri"
"lagorchestes conspicillatus","Lagorchestes conspicillatus"
"macropus fuliginosus","Macropus fuliginosus"
"macropus giganteus","Macropus giganteus"
"notamacropus agilis","Macropus agilis"
"notamacropus dorsalis","Macropus dorsalis"
"notamacropus eugenii","Macropus eugenii"
"notamacropus parma","Macropus parma"
"notamacropus parryi","Macropus parryi"
"notamacropus rufogriseus","Macropus rufogriseus"
"onychogalea unguifera","Onychogalea unguifera"
"osphranter robustus","Macropus robustus"
"osphranter rufus","Macropus rufus"
"petaurus breviceps","Petaurus breviceps"
"phascolarctos cinereus","Phascolarctos cinereus"
"potorous tridactylus","Potorous tridactylus"
"pseudocheirus peregrinus","Pseudocheirus peregrinus"
"setonix brachyurus","Setonix brachyurus"
"thylogale billardierii","Thylogale billardierii"
"trichosurus vulpecula","Trichosurus vulpecula"
"vombatus ursinus","Vombatus ursinus"
"wallabia bicolor","Wallabia bicolor"
"atelerix albiventris","Atelerix albiventris"
"crocidura lasiura","Crocidura lasiura"
"crocidura leucodon","Crocidura leucodon"
"crocidura olivieri","Crocidura olivieri"
"crocidura russula","Crocidura russula"
"crocidura zaphiri","Crocidura zaphiri"
"erinaceus europaeus","Erinaceus europaeus"
"erinaceus roumanicus","Erinaceus roumanicus"
"hemiechinus auritus","Hemiechinus auritus"
"sorex araneus","Sorex araneus"
"sorex arcticus","Sorex arcticus"
"sorex minutus","Sorex minutus"
"suncus murinus","Suncus murinus"
"sylvisorex ollula","Sylvisorex ollula"
"talpa romana","Talpa romana"
"lepus americanus","Lepus americanus"
"lepus californicus","Lepus californicus"
"lepus capensis","Lepus capensis"
"lepus corsicanus","Lepus corsicanus"
"lepus europaeus","Lepus europaeus"
"lepus granatensis","Lepus granatensis"
"lepus saxatilis","Lepus saxatilis"
"lepus timidus","Lepus timidus"
"ochotona curzoniae","Ochotona curzoniae"
"oryctolagus cuniculus","Oryctolagus cuniculus"
"sylvilagus aquaticus","Sylvilagus aquaticus"
"sylvilagus audubonii","Sylvilagus audubonii"
"sylvilagus bachmani","Sylvilagus bachmani"
"sylvilagus brasiliensis","Sylvilagus brasiliensis"
"sylvilagus floridanus","Sylvilagus floridanus"
"sylvilagus nuttallii","Sylvilagus nuttallii"
"sylvilagus palustris","Sylvilagus palustris"
"tachyglossus aculeatus","Tachyglossus aculeatus"
"isoodon macrourus","Isoodon macrourus"
"isoodon obesulus","Isoodon obesulus"
"perameles gunnii","Perameles gunnii"
"perameles nasuta","Perameles nasuta"
"ceratotherium simum","Ceratotherium simum"
"diceros bicornis","Diceros bicornis"
"equus asinus","Equus africanus"
"equus burchellii","Equus quagga"
"equus caballus","Equus caballus"
"equus grevyi","Equus grevyi"
"equus hemionus","Equus hemionus"
"equus kiang","Equus kiang"
"equus przewalskii","Equus ferus"
"equus zebra","Equus zebra"
"rhinoceros unicornis","Rhinoceros unicornis"
"tapirus terrestris","Tapirus terrestris"
"bradypus tridactylus","Bradypus tridactylus"
"bradypus variegatus","Bradypus variegatus"
"choloepus didactylus","Choloepus didactylus"
"choloepus hoffmanni","Choloepus hoffmanni"
"cyclopes didactylus","Cyclopes didactylus"
"myrmecophaga tridactyla","Myrmecophaga tridactyla"
"tamandua tetradactyla","Tamandua tetradactyla"
"allenopithecus nigroviridis","Allenopithecus nigroviridis"
"allochrocebus lhoesti","Cercopithecus lhoesti"
"allochrocebus solatus","Cercopithecus solatus"
"alouatta belzebul","Alouatta belzebul"
"alouatta caraya","Alouatta caraya"
"alouatta guariba","Alouatta guariba"
"alouatta palliata","Alouatta palliata"
"alouatta pigra","Alouatta pigra"
"alouatta seniculus","Alouatta seniculus"
"aotus azarai","Aotus azarae"
"aotus trivirgatus","Aotus trivirgatus"
"ateles fusciceps","Ateles fusciceps"
"ateles geoffroyi","Ateles geoffroyi"
"ateles paniscus","Ateles paniscus"
"brachyteles arachnoides","Brachyteles arachnoides"
"cacajao calvus","Cacajao calvus"
"cacajao melanocephalus","Cacajao melanocephalus"
"callimico goeldii","Callimico goeldii"
"callithrix geoffroyi","Callithrix geoffroyi"
"callithrix jacchus","Callithrix jacchus"
"callithrix penicillata","Callithrix penicillata"
"cebuella pygmaea","Cebuella pygmaea"
"cebus capucinus","Cebus capucinus"
"cebus olivaceus","Cebus olivaceus"
"cercocebus agilis","Cercocebus agilis"
"cercocebus atys","Cercocebus atys"
"cercocebus chrysogaster","Cercocebus chrysogaster"
"cercocebus galeritus","Cercocebus galeritus"
"cercocebus torquatus","Cercocebus torquatus"
"cercopithecus albogularis","Cercopithecus mitis"
"cercopithecus ascanius","Cercopithecus ascanius"
"cercopithecus campbelli","Cercopithecus campbelli"
"cercopithecus cephus","Cercopithecus cephus"
"cercopithecus denti","Cercopithecus pogonias"
"cercopithecus diana","Cercopithecus diana"
"cercopithecus erythrotis","Cercopithecus erythrotis"
"cercopithecus hamlyni","Cercopithecus hamlyni"
"cercopithecus mitis","Cercopithecus mitis"
"cercopithecus mona","Cercopithecus mona"
"cercopithecus neglectus","Cercopithecus neglectus"
"cercopithecus nictitans","Cercopithecus nictitans"
"cercopithecus petaurista","Cercopithecus petaurista"
"cercopithecus pogonias","Cercopithecus pogonias"
"cercopithecus wolfi","Cercopithecus pogonias"
"chlorocebus aethiops","Chlorocebus aethiops"
"chlorocebus pygerythrus","Chlorocebus pygerythrus"
"chlorocebus sabaeus","Chlorocebus sabaeus"
"chlorocebus tantalus","Chlorocebus tantalus"
"colobus guereza","Colobus guereza"
"colobus polykomos","Colobus polykomos"
"erythrocebus patas","Erythrocebus patas"
"eulemur albifrons","Eulemur albifrons"
"eulemur fulvus","Eulemur fulvus"
"eulemur macaco","Eulemur macaco"
"euoticus elegantulus","Euoticus elegantulus"
"galago senegalensis","Galago senegalensis"
"galagoides demidoff","Galagoides demidovii"
"gorilla beringei","Gorilla beringei"
"gorilla gorilla","Gorilla gorilla"
"homo sapiens","Homo sapiens"
"hoolock hoolock","Hoolock hoolock"
"hylobates agilis","Hylobates agilis"
"hylobates lar","Hylobates lar"
"hylobates moloch","Hylobates moloch"
"hylobates muelleri","Hylobates muelleri"
"hylobates pileatus","Hylobates pileatus"
"lagothrix lagotricha","Lagothrix lagotricha"
"lemur catta","Lemur catta"
"leontocebus fuscicollis","Leontocebus fuscicollis"
"leontocebus nigricollis","Leontocebus nigricollis"
"leontopithecus chrysomelas","Leontopithecus chrysomelas"
"leontopithecus rosalia","Leontopithecus rosalia"
"lepilemur edwardsi","Lepilemur edwardsi"
"lepilemur mustelinus","Lepilemur mustelinus"
"lophocebus albigena","Lophocebus albigena"
"lophocebus aterrimus","Lophocebus aterrimus"
"macaca arctoides","Macaca arctoides"
"macaca balantak","Macaca tonkeana"
"macaca cyclopis","Macaca cyclopis"
"macaca fascicularis","Macaca fascicularis"
"macaca fuscata","Macaca fuscata"
"macaca maura","Macaca maura"
"macaca mulatta","Macaca mulatta"
"macaca nemestrina","Macaca nemestrina"
"macaca nigra","Macaca nigra"
"macaca nigrescens","Macaca nigrescens"
"macaca ochreata","Macaca ochreata"
"macaca radiata","Macaca radiata"
"macaca silenus","Macaca silenus"
"macaca sinica","Macaca sinica"
"macaca sylvanus","Macaca sylvanus"
"macaca thibetana","Macaca thibetana"
"macaca tonkeana","Macaca tonkeana"
"mandrillus leucophaeus","Mandrillus leucophaeus"
"mandrillus sphinx","Mandrillus sphinx"
"mico argentatus","Mico argentatus"
"mico humeralifer","Mico humeralifer"
"mico leucippe","Mico leucippe"
"miopithecus ogouensis","Miopithecus ogouensis"
"miopithecus talapoin","Miopithecus talapoin"
"nomascus concolor","Nomascus concolor"
"nomascus gabriellae","Nomascus gabriellae"
"nomascus leucogenys","Nomascus leucogenys"
"nycticebus coucang","Nycticebus coucang"
"otolemur crassicaudatus","Otolemur crassicaudatus"
"pan paniscus","Pan paniscus"
"pan troglodytes","Pan troglodytes"
"papio anubis","Papio anubis"
"papio cynocephalus","Papio cynocephalus"
"papio hamadryas","Papio hamadryas"
"papio papio","Papio papio"
"papio ursinus","Papio ursinus"
"perodicticus potto","Perodicticus potto"
"piliocolobus badius","Procolobus badius"
"piliocolobus rufomitratus","Procolobus rufomitratus"
"piliocolobus semlikiensis","Procolobus badius"
"piliocolobus tephrosceles","Procolobus rufomitratus"
"pithecia monachus","Pithecia monachus"
"pithecia pithecia","Pithecia pithecia"
"pongo abelii","Pongo abelii"
"pongo pygmaeus","Pongo pygmaeus"
"presbytis melalophos","Presbytis melalophos"
"procolobus verus","Procolobus verus"
"propithecus coquereli","Propithecus coquereli"
"propithecus verreauxi","Propithecus verreauxi"
"pygathrix nemaeus","Pygathrix nemaeus"
"rhinopithecus roxellana","Rhinopithecus roxellana"
"saguinus geoffroyi","Saguinus geoffroyi"
"saguinus imperator","Saguinus imperator"
"saguinus labiatus","Saguinus labiatus"
"saguinus midas","Saguinus midas"
"saguinus mystax","Saguinus mystax"
"saguinus oedipus","Saguinus oedipus"
"saimiri oerstedii","Saimiri oerstedii"
"saimiri sciureus","Saimiri sciureus"
"saimiri ustus","Saimiri ustus"
"sapajus apella","Sapajus apella"
"sapajus cay","Sapajus cay"
"sapajus flavius","Sapajus flavius"
"sapajus nigritus","Sapajus nigritus"
"sapajus xanthosternos","Sapajus xanthosternos"
"semnopithecus entellus","Semnopithecus entellus"
"semnopithecus schistaceus","Semnopithecus schistaceus"
"symphalangus syndactylus","Symphalangus syndactylus"
"theropithecus gelada","Theropithecus gelada"
"trachypithecus cristatus","Trachypithecus cristatus"
"trachypithecus francoisi","Trachypithecus francoisi"
"trachypithecus obscurus","Trachypithecus obscurus"
"trachypithecus phayrei","Trachypithecus phayrei"
"trachypithecus pileatus","Trachypithecus pileatus"
"varecia variegata","Varecia variegata"
"elephas maximus","Elephas maximus"
"loxodonta africana","Loxodonta africana"
"abrothrix longipilis","Abrothrix longipilis"
"abrothrix olivaceus","Abrothrix olivaceus"
"abrothrix sanborni","Abrothrix sanborni"
"acomys cahirinus","Acomys cahirinus"
"acomys dimidiatus","Acomys dimidiatus"
"aethomys kaiseri","Aethomys kaiseri"
"akodon azarae","Akodon azarae"
"akodon cursor","Akodon cursor"
"akodon montensis","Akodon montensis"
"akodon paranaensis","Akodon paranaensis"
"akodon simulator","Akodon simulator"
"akodon varius","Akodon varius"
"alticola argentatus","Alticola argentatus"
"ammospermophilus nelsoni","Ammospermophilus nelsoni"
"apodemus agrarius","Apodemus agrarius"
"apodemus argenteus","Apodemus argenteus"
"apodemus flavicollis","Apodemus flavicollis"
"apodemus mystacinus","Apodemus mystacinus"
"apodemus pallipes","Apodemus pallipes"
"apodemus peninsulae","Apodemus peninsulae"
"apodemus ponticus","Apodemus ponticus"
"apodemus speciosus","Apodemus speciosus"
"apodemus sylvaticus","Apodemus sylvaticus"
"apodemus uralensis","Apodemus uralensis"
"arvicanthis neumanni","Arvicanthis neumanni"
"arvicanthis niloticus","Arvicanthis niloticus"
"arvicola amphibius","Arvicola amphibius"
"arvicola scherman","Arvicola scherman"
"atherurus africanus","Atherurus africanus"
"baiomys taylori","Baiomys taylori"
"bandicota bengalensis","Bandicota bengalensis"
"bandicota indica","Bandicota indica"
"bandicota savilei","Bandicota savilei"
"bibimys chacoensis","Bibimys chacoensis"
"bolomys amoenus","Necromys amoenus"
"callospermophilus lateralis","Callospermophilus lateralis"
"calomys callidus","Calomys callidus"
"calomys callosus","Calomys callosus"
"calomys laucha","Calomys laucha"
"calomys musculinus","Calomys musculinus"
"calomys tener","Calomys tener"
"castor canadensis","Castor canadensis"
"castor fiber","Castor fiber"
"cavia porcellus","Cavia porcellus"
"chaetodipus hispidus","Chaetodipus hispidus"
"chaetodipus spinatus","Chaetodipus spinatus"
"chinchilla lanigera","Chinchilla lanigera"
"chionomys roberti","Chionomys roberti"
"coendou melanurus","Coendou melanurus"
"coendou mexicanus","Coendou mexicanus"
"coendou prehensilis","Coendou prehensilis"
"coendou rothschildi","Coendou quichua"
"cricetomys emini","Cricetomys emini"
"cricetomys gambianus","Cricetomys gambianus"
"cricetulus barabensis","Cricetulus barabensis"
"cricetus cricetus","Cricetus cricetus"
"ctenodactylus gundi","Ctenodactylus gundi"
"cuniculus paca","Cuniculus paca"
"cynomys ludovicianus","Cynomys ludovicianus"
"dasymys incomtus","Dasymys incomtus"
"dasyprocta fuliginosa","Dasyprocta fuliginosa"
"dasyprocta leporina","Dasyprocta leporina"
"dasyprocta punctata","Dasyprocta punctata"
"desmodillus auricularis","Desmodillus auricularis"
"dicrostonyx groenlandicus","Dicrostonyx groenlandicus"
"diplomys labilis","Diplomys labilis"
"dipodillus dasyurus","Gerbillus dasyurus"
"dipodomys heermanni","Dipodomys heermanni"
"dipodomys merriami","Dipodomys merriami"
"dipodomys microps","Dipodomys microps"
"dipodomys nitratoides","Dipodomys nitratoides"
"dipodomys ordii","Dipodomys ordii"
"eliomys munbyanus","Eliomys munbyanus"
"erethizon dorsatum","Erethizon dorsatum"
"euryzygomatomys spinosus","Euryzygomatomys spinosus"
"funambulus pennantii","Funambulus pennantii"
"funambulus tristriatus","Funambulus tristriatus"
"funisciurus anerythrus","Funisciurus anerythrus"
"funisciurus congicus","Funisciurus congicus"
"funisciurus lemniscatus","Funisciurus lemniscatus"
"geomys bursarius","Geomys bursarius"
"gerbilliscus brantsii","Gerbilliscus brantsii"
"gerbilliscus kempi","Gerbilliscus kempi"
"gerbilliscus leucogaster","Gerbilliscus leucogaster"
"gerbilliscus validus","Gerbilliscus validus"
"gerbillus gerbillus","Gerbillus gerbillus"
"gerbillus pyramidum","Gerbillus pyramidum"
"glaucomys volans","Glaucomys volans"
"glis glis","Glis glis"
"golunda ellioti","Golunda ellioti"
"graomys griseoflavus","Graomys griseoflavus"
"handleyomys alfaroi","Handleyomys alfaroi"
"handleyomys fuscatus","Handleyomys fuscatus"
"heliosciurus gambianus","Heliosciurus gambianus"
"heliosciurus rufobrachium","Heliosciurus rufobrachium"
"heteromys anomalus","Heteromys anomalus"
"holochilus sciureus","Holochilus sciureus"
"hoplomys gymnurus","Hoplomys gymnurus"
"hydrochoerus hydrochaeris","Hydrochoerus hydrochaeris"
"hydromys chrysogaster","Hydromys chrysogaster"
"hylaeamys laticeps","Hylaeamys laticeps"
"hylaeamys megacephalus","Hylaeamys megacephalus"
"hylomyscus alleni","Hylomyscus alleni"
"hystrix africaeaustralis","Hystrix africaeaustralis"
"ictidomys tridecemlineatus","Ictidomys tridecemlineatus"
"lagurus lagurus","Lagurus lagurus"
"lasiopodomys gregalis","Microtus gregalis"
"lemmus lemmus","Lemmus lemmus"
"lemmus sibiricus","Lemmus sibiricus"
"lemniscomys rosalia","Lemniscomys rosalia"
"lemniscomys striatus","Lemniscomys striatus"
"liomys adspersus","Liomys adspersus"
"liomys salvini","Liomys salvini"
"lophuromys flavopunctatus","Lophuromys flavopunctatus"
"lophuromys sikapusi","Lophuromys sikapusi"
"loxodontomys micropus","Loxodontomys micropus"
"madromys blanfordi","Madromys blanfordi"
"marmota caudata","Marmota caudata"
"marmota flaviventris","Marmota flaviventris"
"marmota monax","Marmota monax"
"mastomys coucha","Mastomys coucha"
"mastomys erythroleucus","Mastomys erythroleucus"
"mastomys huberti","Mastomys huberti"
"mastomys natalensis","Mastomys natalensis"
"megadontomys nelsoni","Megadontomys nelsoni"
"melanomys caliginosus","Melanomys caliginosus"
"meriones crassus","Meriones crassus"
"meriones hurrianae","Meriones hurrianae"
"meriones libycus","Meriones libycus"
"meriones tamariscinus","Meriones tamariscinus"
"mesocricetus auratus","Mesocricetus auratus"
"mesomys hispidus","Mesomys hispidus"
"micaelamys namaquensis","Aethomys namaquensis"
"micromys minutus","Micromys minutus"
"microtus agrestis","Microtus agrestis"
"microtus arvalis","Microtus arvalis"
"microtus californicus","Microtus californicus"
"microtus fortis","Microtus fortis"
"microtus guentheri","Microtus guentheri"
"microtus ilaeus","Microtus ilaeus"
"microtus levis","Microtus levis"
"microtus maximowiczii","Microtus maximowiczii"
"microtus montanus","Microtus montanus"
"microtus ochrogaster","Microtus ochrogaster"
"microtus oeconomus","Microtus oeconomus"
"microtus pennsylvanicus","Microtus pennsylvanicus"
"microtus socialis","Microtus socialis"
"millardia meltada","Millardia meltada"
"mus booduga","Mus booduga"
"mus cervicolor","Mus cervicolor"
"mus mattheyi","Mus mattheyi"
"mus musculoides","Mus musculoides"
"mus musculus","Mus musculus"
"mus setulosus","Mus setulosus"
"mus spicilegus","Mus spicilegus"
"mus spretus","Mus spretus"
"myocastor coypus","Myocastor coypus"
"myodes gapperi","Myodes gapperi"
"myodes glareolus","Myodes glareolus"
"myodes regulus","Myodes regulus"
"myodes rufocanus","Myodes rufocanus"
"myodes rutilus","Myodes rutilus"
"myoprocta acouchy","Myoprocta acouchy"
"myotomys unisulcatus","Otomys unisulcatus"
"napaeozapus insignis","Napaeozapus insignis"
"neacomys guianae","Neacomys guianae"
"neacomys spinosus","Neacomys spinosus"
"necromys benefactus","Necromys benefactus"
"necromys lasiurus","Necromys lasiurus"
"necromys obscurus","Necromys obscurus"
"nectomys squamipes","Nectomys squamipes"
"neotoma albigula","Neotoma albigula"
"neotoma cinerea","Neotoma cinerea"
"neotoma floridana","Neotoma floridana"
"neotoma fuscipes","Neotoma fuscipes"
"neotoma lepida","Neotoma lepida"
"neotoma leucodon","Neotoma leucodon"
"neotoma macrotis","Neotoma macrotis"
"neotoma mexicana","Neotoma mexicana"
"neotoma micropus","Neotoma micropus"
"neotoma stephensi","Neotoma stephensi"
"nephelomys albigularis","Nephelomys albigularis"
"niviventer confucianus","Niviventer confucianus"
"oecomys bicolor","Oecomys bicolor"
"oecomys paricola","Oecomys paricola"
"oligoryzomys chacoensis","Oligoryzomys chacoensis"
"oligoryzomys flavescens","Oligoryzomys flavescens"
"oligoryzomys fornesi","Oligoryzomys fornesi"
"oligoryzomys fulvescens","Oligoryzomys fulvescens"
"oligoryzomys longicaudatus","Oligoryzomys longicaudatus"
"oligoryzomys microtis","Oligoryzomys microtis"
"oligoryzomys nigripes","Oligoryzomys nigripes"
"ondatra zibethicus","Ondatra zibethicus"
"onychomys leucogaster","Onychomys leucogaster"
"onychomys torridus","Onychomys torridus"
"oryzomys couesi","Oryzomys couesi"
"oryzomys palustris","Oryzomys palustris"
"otomys irroratus","Otomys irroratus"
"otomys tropicalis","Otomys tropicalis"
"otospermophilus beecheyi","Otospermophilus beecheyi"
"otospermophilus variegatus","Otospermophilus variegatus"
"oxymycterus nasutus","Oxymycterus nasutus"
"oxymycterus quaestor","Oxymycterus quaestor"
"oxymycterus rufus","Oxymycterus rufus"
"pedetes capensis","Pedetes capensis"
"pelomys isseli","Pelomys isseli"
"perognathus parvus","Perognathus parvus"
"peromyscus attwateri","Peromyscus attwateri"
"peromyscus beatae","Peromyscus beatae"
"peromyscus boylii","Peromyscus boylii"
"peromyscus californicus","Peromyscus californicus"
"peromyscus crinitus","Peromyscus crinitus"
"peromyscus difficilis","Peromyscus difficilis"
"peromyscus eremicus","Peromyscus eremicus"
"peromyscus gossypinus","Peromyscus gossypinus"
"peromyscus leucopus","Peromyscus leucopus"
"peromyscus maniculatus","Peromyscus maniculatus"
"peromyscus megalops","Peromyscus megalops"
"peromyscus melanophrys","Peromyscus melanophrys"
"peromyscus melanotis","Peromyscus melanotis"
"peromyscus mexicanus","Peromyscus mexicanus"
"peromyscus truei","Peromyscus truei"
"phyllotis darwini","Phyllotis darwini"
"praomys daltoni","Praomys daltoni"
"praomys jacksoni","Praomys jacksoni"
"praomys rostratus","Praomys rostratus"
"proechimys cuvieri","Proechimys cuvieri"
"proechimys guairae","Proechimys guairae"
"proechimys guyannensis","Proechimys guyannensis"
"proechimys longicaudatus","Proechimys longicaudatus"
"proechimys semispinosus","Proechimys semispinosus"
"pseudomys novaehollandiae","Pseudomys novaehollandiae"
"rattus exulans","Rattus exulans"
"rattus flavipectus","Rattus tanezumi"
"rattus fuscipes","Rattus fuscipes"
"rattus losea","Rattus losea"
"rattus lutreolus","Rattus lutreolus"
"rattus nitidus","Rattus nitidus"
"rattus norvegicus","Rattus norvegicus"
"rattus pyctoris","Rattus pyctoris"
"rattus rattus","Rattus rattus"
"rattus sordidus","Rattus sordidus"
"rattus tanezumi","Rattus tanezumi"
"rattus tiomanicus","Rattus tiomanicus"
"reithrodontomys creper","Reithrodontomys creper"
"reithrodontomys fulvescens","Reithrodontomys fulvescens"
"reithrodontomys megalotis","Reithrodontomys megalotis"
"reithrodontomys mexicanus","Reithrodontomys mexicanus"
"reithrodontomys sumichrasti","Reithrodontomys sumichrasti"
"rhabdomys pumilio","Rhabdomys pumilio"
"rhombomys opimus","Rhombomys opimus"
"sciurus carolinensis","Sciurus carolinensis"
"sciurus granatensis","Sciurus granatensis"
"sciurus griseus","Sciurus griseus"
"sciurus niger","Sciurus niger"
"sciurus variegatoides","Sciurus variegatoides"
"sciurus vulgaris","Sciurus vulgaris"
"sekeetamys calurus","Sekeetamys calurus"
"sigmodon alstoni","Sigmodon alstoni"
"sigmodon hispidus","Sigmodon hispidus"
"sigmodon toltecus","Sigmodon toltecus"
"sooretamys angouya","Sooretamys angouya"
"spermophilus citellus","Spermophilus citellus"
"spermophilus fulvus","Spermophilus fulvus"
"stenocephalemys albipes","Stenocephalemys albipes"
"tamias amoenus","Tamias amoenus"
"tamias minimus","Tamias minimus"
"tamias quadrivittatus","Tamias quadrivittatus"
"tamias sibiricus","Tamias sibiricus"
"tamias striatus","Tamias striatus"
"tamias umbrinus","Tamias umbrinus"
"tamiasciurus hudsonicus","Tamiasciurus hudsonicus"
"tatera indica","Tatera indica"
"terricola subterraneus","Microtus subterraneus"
"thallomys nigricauda","Thallomys nigricauda"
"thaptomys nigrita","Thaptomys nigrita"
"thomomys talpoides","Thomomys talpoides"
"thryonomys swinderianus","Thryonomys swinderianus"
"transandinomys bolivaris","Transandinomys bolivaris"
"trinomys iheringi","Trinomys iheringi"
"tscherskia triton","Tscherskia triton"
"tylomys nudicaudus","Tylomys nudicaudus"
"urocitellus columbianus","Urocitellus columbianus"
"urocitellus parryii","Urocitellus parryii"
"urocitellus richardsonii","Urocitellus richardsonii"
"urocitellus undulatus","Urocitellus undulatus"
"vandeleuria oleracea","Vandeleuria oleracea"
"xerus erythropus","Xerus erythropus"
"xerus inauris","Xerus inauris"
"zapus hudsonius","Zapus hudsonius"
"zygodontomys brevicauda","Zygodontomys brevicauda"
"tupaia belangeri","Tupaia belangeri"
"tupaia chinensis","Tupaia belangeri"
"tupaia glis","Tupaia glis"
"trichechus manatus","Trichechus manatus"
